k,inertia,silhouette,davies_bouldin
2,8008.846426704397,0.3887933517518353,1.4193981727923273
3,6413.748622329137,0.26021359451819365,1.3822000615019079
4,5138.172727430875,0.2843608551978412,1.1350059051990937
5,4137.741371087763,0.3147915295859426,1.0191289878862482
6,3630.5954517210334,0.27509349940289385,1.0851632734942889
7,3225.3402126787255,0.2838249861931407,1.1057902378473279
8,2934.470104182914,0.29436745847774876,1.0651153718604502
9,2671.726321769022,0.29339102028262215,1.072737621659899
10,2462.593418004326,0.28650824260418906,1.0256154685906247
